company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
mercedes-benz,m-klass,2005,with mileage,180000.0,petrol,3500.0,gray,auto,all-wheel drive,J,7000
renault,logan,2013,with mileage,76000.0,petrol,1600.0,silver,mechanics,front-wheel drive,B,5100
opel,astra,2009,with mileage,162000.0,petrol,1600.0,gray,mechanics,front-wheel drive,C,6200
volvo,xc90,2017,with mileage,40000.0,diesel,2000.0,other,auto,all-wheel drive,J,55000
chrysler,grand-voyager,1999,with mileage,242000.0,diesel,2500.0,black,mechanics,front-wheel drive,M,4000
peugeot,607,2000,with mileage,393000.0,diesel,2200.0,blue,mechanics,front-wheel drive,E,3650
volkswagen,polo,2001,with mileage,340000.0,diesel,1800.0,silver,mechanics,front-wheel drive,B,2139
mazda,cx-5,2012,with mileage,104000.0,petrol,2000.0,black,auto,all-wheel drive,J,16700
ford,focus,1999,with mileage,280000.0,petrol,1600.0,burgundy,mechanics,front-wheel drive,C,2500
renault,megane,2004,with mileage,316000.0,diesel,1500.0,gray,mechanics,front-wheel drive,C,3700
bmw,3-seriya,2003,with mileage,290000.0,petrol,2500.0,blue,mechanics,rear drive,D,6500
volkswagen,multivan,2010,with mileage,222810.0,diesel,2000.0,black,auto,front-wheel drive,M,18000
opel,insignia,2015,with mileage,52000.0,petrol,2000.0,white,auto,part-time four-wheel drive,D,16900
volkswagen,passat,1991,with mileage,300000.0,petrol,1800.0,black,mechanics,front-wheel drive,D,1200
lada-vaz,2106,1987,with mileage,50000.0,petrol,1500.0,other,mechanics,rear drive,B,1900
peugeot,206,2007,with mileage,112300.0,petrol,1400.0,black,auto,front-wheel drive,B,3700
opel,omega,2000,with mileage,355000.0,petrol,2200.0,blue,auto,rear drive,E,2300
citroen,c5,2013,with mileage,79000.0,petrol,1600.0,white,mechanics,front-wheel drive,D,10700
jaguar,xj,2010,with mileage,158000.0,diesel,3000.0,black,auto,rear drive,,19950
toyota,picnic,2000,with mileage,320000.0,diesel,2200.0,blue,mechanics,front-wheel drive,,4500
audi,s6,2007,with mileage,150000.0,petrol,5200.0,gray,auto,all-wheel drive,J,11000
renault,laguna,1996,with mileage,357.0,petrol,1800.0,green,mechanics,front-wheel drive,D,1000
nissan,micra,2005,with mileage,143000.0,petrol,1200.0,blue,mechanics,front-wheel drive,C,4250
nissan,qashqai,2012,with mileage,170000.0,petrol,2000.0,gray,auto,front-wheel drive,J,10550
renault,vel-satis,2003,with mileage,370000.0,diesel,3000.0,blue,auto,front-wheel drive,E,4200
peugeot,206,2000,with mileage,210000.0,petrol,2000.0,gray,mechanics,front-wheel drive,B,1750
buick,skylark,1987,with mileage,174000.0,petrol,3800.0,blue,auto,front-wheel drive,,4400
citroen,c5,2004,with mileage,253000.0,diesel,1600.0,white,mechanics,front-wheel drive,D,4900
bmw,5-seriya,1993,with mileage,300000.0,petrol,2500.0,gray,mechanics,rear drive,E,2900
toyota,land-cruiser,2008,with mileage,290000.0,diesel,4500.0,burgundy,auto,all-wheel drive,J,27200
mazda,xedos-9,1994,with mileage,370000.0,petrol,2500.0,black,mechanics,front-wheel drive,,1600
opel,omega,2000,with mileage,436686.0,diesel,2500.0,silver,mechanics,rear drive,E,3200
citroen,xantia,1995,with mileage,345873.0,diesel,1900.0,brown,mechanics,front-wheel drive,D,1250
bmw,7-seriya,1999,with mileage,272122.0,diesel,4000.0,black,auto,rear drive,F,4500
mazda,323,1997,with mileage,323350.0,petrol,1500.0,green,mechanics,front-wheel drive,C,2100
toyota,carina-e,1993,with mileage,360000.0,petrol,1600.0,red,mechanics,front-wheel drive,E,1700
kia,sportage,2011,with mileage,107000.0,petrol,2000.0,brown,auto,part-time four-wheel drive,J,13300
nissan,x-trail,2003,with mileage,220000.0,diesel,2200.0,gray,mechanics,front-wheel drive,J,6599
